title,action,indie,adventure,role-playing-games-rpg,strategy,shooter,casual,simulation,puzzle,arcade,platformer,racing,sports,massively-multiplayer,fighting,family,board-games,educational,card
the-witcher-3-wild-hunt,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grand-theft-auto-v,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomb-raider,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-elder-scrolls-v-skyrim,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
left-4-dead-2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
limbo,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
rocket-league,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
terraria,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hotline-miami,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
amnesia-the-dark-descent,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portal,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
life-is-strange-episode-1-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red-dead-redemption-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grand-theft-auto-iv,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
god-of-war-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
borderlands-2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fallout-4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horizon-zero-dawn,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-witcher-2-assassins-of-kings-enhanced-edition,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shadow-of-mordor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
civilization-v,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xcom-enemy-unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brutal-legend,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
company-of-heroes-2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cities-skylines,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
portal-2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
bioshock-infinite,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
counter-strike-global-offensive,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bioshock,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
